Ваша крепость слаба - хотите ли её укрепить? 1)Нет: 0 -5 -5 0 ; 2)Да: 0 0 10 -10
Восточные баронства снова обьявили войну и люди бегут через границу. 1)Приютить беженцев: -10 -10 -10 10 ; 2)Закрыть границу: 0 0 -20 -10
Новые сельскохозяйственные технологии значительно увеличили урожайность! Что делать с доходом? 1)Оставить себе: 0 0 0 30 ; 2)Поделиться: 10 10 10 0
Дать церкви восстановить божественное правосудие в стране. Папа готов заплатить! 1)Нет -20 10 10 -10 ; 2)Да: 20 0 0 20
Народ из дальний деревни учит своих детей плеваться в людей Короля. Не подать ли им пример? 1)Нет: 0 10 0 0 ; 2)Да: 10 -10 0 0
Милорд, солдаты умудрились выпустить льва на улицы столицы столицы. Это ад кромешный! 1)Закрыть ворота замка: 0 -20 10 0 ; 2)Послать армию: 0 0 -20 0
Нужно построить новую . 1)Разве у нас не достаточно?: -20 0 0 0 ; 2)Послать армию: 20 0 0 -20
Шахтеры отказываются спускаться в шахту. Они хотят прибавке. 1)Нет: 0 -10 0 10 ; 2)Да: 0 10 0 -20
Король Запада предлагает купить у нас небольшую часть страны. 1)Нет: 0 0 0 -10 ; 2)Да: 0 -20 0 20
Нужно установить комендантский час. Улицы столицы опасны по ночам! 1)Нет: 0 -5 -5 0 ; 2)Да: 0 10 10 -20
Несколько деревень притворились, что на них напали небесные существа. Уловка, чтобы платить меньше налогов. 1)Я им верю: 0 20 0 -10 ; 2)Что?: 0 -10 0 0
Восточные баронства собираются под знаменами ужасного полководца! Пошлите армию! 1)Нет: 0 -20 0 0 ; 2)Да: 0 0 -20 0
Королева Юга преподнесла вам сорок книг. Нам нужно построить библиотеку! 1)Нет: 10 -10 -10 0 ; 2)Да: -10 20 10 -10
Милорд, я Мастер Куртенэ, мастер гильдии купцов. Примите подарок в знак нашего расположения. 1)Я не беру взяток: 10 10 0 0 ; 2)Да: 0 0 0 10
Пьяная компания ваших солдат разорила аббатство. Мы хотим правосудия! 1)Нет: -20 0 10 0 ; 2)Всех виновных в темницу: 10 0 -10 0
Милорд, волки пожирают наших детей. Мы можем начать на них охоту? 1)Ты преувеличиваешь: 10 -10 10 -10 ; 2)Я лично этим займусь: 0 10 -10 0
Устье реки Капля - опасное болото для путников. Нам нужно хорошенько его почистить. 1)Нет: 0 -20 0 0 ; 2)Да: 0 20 0 -10
В горном регионе у восточной границе царит беззаконие и бушует беспорядок 1)Мне все равно: -10 -10 -10 -10 ; 2)Направить солдат: 10 10 -10 0
Цены на курицу взмыли до небес! Люди спекулируют на них! Нам нужно заявить, что мы будем регулировать торговлю. 1)Пусть едят говядину: 0 -20 0 0 ; 2)Да: 0 0 0 20
Произошел массовый побег из тюрьмы. Нужно организовать розыск. 1)Нет: -10 -10 -10 -10 ; 2)Да: 0 0 -10 0
Шахты полны золота, милорд! 1)Я богат!: 0 0 0 30 ; 2)Мы богаты: 10 10 10 10
Мы хотим организовать паломничество к могиле Святого Армана. 1)Нет: -10 -10 0 0 ; 2)Да: 10 10 0 -10
Землетрясение разрушило большую часть столицы! Городская стража ждет ваших приказаний. 1)Предотвратить мородерсво в столице: 0 -20 10 10 ; 2)Спасать пострадавших: 0 10 0 -20
В этом году ничего не происходит армия просто помирает со скуки. 1)Пусть упражняются: 10 0 -10 0 ; 2)Обеспечить их вином: 0 20 -20 -20
Народ считает, что вы хороший король! Нужно повысить налоги. 1)Нет: 0 10 0 0 ; 2)Да: 0 -20 0 20
Мы хотим построить школу для просвещения народа. 1)Нет: -10 -10 0 0 ; 2)Да: 10 10 0 -20
Черный рынок процветает. Нужно послать армию на улицы города, чтобы разобраться с ними. 1)Нет: 0 10 0 -10 ; 2)Да: 0 -20 -10 10
Восточные баронства напали! Мы можем одержать верх только объявить общий призыв. 1)Нет: 0 0 -10 0 ; 2)Да: 0 -20 10 0 (независимо от ответа на игрока навешивается эффект «война» каждый ход -5 )
